id,start,start_lat,start_long,dest,dest_lat,dest_long,dest_time
0,Raleigh,35.85578606125182,-78.68178587020807,Durham,36.035191188743156,-78.93445255626145,9:00
1,Raleigh,35.860769715345604,-78.71886530662012,Durham,35.99095015412398,-78.93069354293941,9:00
2,Raleigh,35.90107469869695,-78.67379348836629,Durham,35.98376344910979,-78.92963740061826,9:00
3,Raleigh,35.73227691198704,-78.71566641824455,Durham,35.9692514659577,-78.90088389573239,9:00
4,Raleigh,35.79401666673449,-78.65195220226055,Durham,36.035711760951735,-78.91193186072731,9:00
5,Raleigh,35.77264104059569,-78.76275167110585,Durham,36.061488940429804,-78.87002264349634,9:00
6,Raleigh,35.83070734240859,-78.7492576696611,Durham,35.96941641637755,-78.99824023646573,9:00
7,Raleigh,35.74305765346158,-78.6610967515032,Durham,36.06205472087931,-78.86419924682045,9:00
8,Raleigh,35.73537160185525,-78.62596513636689,Durham,36.03714455132743,-78.99579721335232,9:00
9,Raleigh,35.750283433337245,-78.59231374594286,Durham,35.9796837811298,-78.84031432801795,9:00
10,Raleigh,35.815265477674124,-78.69851308162261,Durham,36.0062829265467,-78.95536802034366,9:00
11,Raleigh,35.75983864546339,-78.58115482337853,Durham,36.04805874468415,-78.97800960048126,9:00
12,Raleigh,35.78385073176323,-78.76495822856602,Durham,36.037864356290385,-78.85734608393761,9:00
13,Raleigh,35.84352614573598,-78.5939847689697,Durham,35.999573758446566,-78.95466410799935,9:00
14,Raleigh,35.90447292532324,-78.73416030745967,Durham,36.02792248714616,-78.89173716214638,9:00
15,Raleigh,35.82343210568541,-78.66462704258069,Durham,36.068111153984816,-78.95376017306704,9:00
16,Raleigh,35.75671843995671,-78.59098124481109,Durham,35.971214034157555,-78.83401339690973,9:00
17,Raleigh,35.82811641071243,-78.6578639351927,Durham,35.97398306613587,-78.89407662935615,9:00
18,Raleigh,35.77885489803859,-78.72711467276501,Durham,36.053127015166844,-78.9785674297624,9:00
19,Raleigh,35.87046926109235,-78.60239550222185,Durham,35.98653615233315,-78.88583456524952,9:00
